%time,field.header.seq,field.header.stamp,field.header.frame_id,field.coordinate_frame,field.type_mask,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration_or_force.x,field.acceleration_or_force.y,field.acceleration_or_force.z,field.yaw,field.yaw_rate
146806000000,14664,146806000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146816000000,14665,146816000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146826000000,14666,146826000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146836000000,14667,146836000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146846000000,14668,146846000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146856000000,14669,146856000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146866000000,14670,146866000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146876000000,14671,146876000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146887000000,14672,146887000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,1.59701544018,-2.13345350913,0.0,0.0,0.0
146897000000,14673,146897000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,1.99701500788,-2.99333536338,0.0,0.0,0.0
146907000000,14674,146907000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.01701251247,-2.9930171129,0.0,0.0,0.0
146916000000,14675,146916000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.03500699621,-2.99255947745,0.0,0.0,0.0
146926000000,14676,146926000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.05504603559,-2.99289440387,0.0,0.0,0.0
146937000000,14677,146937000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.0770244222,-2.99189461692,0.0,0.0,0.0
146947000000,14678,146947000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.09699484657,-2.99077530129,0.0,0.0,0.0
146957000000,14679,146957000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.11602575644,-2.99036855852,0.0,0.0,0.0
146967000000,14680,146967000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.13597134166,-2.9888486155,0.0,0.0,0.0
146977000000,14681,146977000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.15590168332,-2.98712840825,0.0,0.0,0.0
146987000000,14682,146987000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.17315114936,-2.98050852847,0.0,0.0,0.0
146997000000,14683,146997000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.19304535993,-2.97838799549,0.0,0.0,0.0
147007000000,14684,147006000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.21093316478,-2.97630767654,0.0,0.0,0.0
147017000000,14685,147017000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.23277013975,-2.97354609938,0.0,0.0,0.0
147027000000,14686,147027000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.23787776808,-2.94555986812,0.0,0.0,0.0
147037000000,14687,147037000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.25767716889,-2.94264008096,0.0,0.0,0.0
147047000000,14688,147047000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.27744817857,-2.93952089277,0.0,0.0,0.0
147057000000,14689,147057000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.27203199545,-2.89572925213,0.0,0.0,0.0
147067000000,14690,147067000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.29174061038,-2.89221190181,0.0,0.0,0.0
147077000000,14691,147077000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.31141544686,-2.88849561126,0.0,0.0,0.0
147086000000,14692,147086000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.27420410646,-2.80536255668,0.0,0.0,0.0
147097000000,14693,147097000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.29576510584,-2.80085173581,0.0,0.0,0.0
147107000000,14694,147107000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.31532655118,-2.79654119923,0.0,0.0,0.0
147117000000,14695,147117000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.33484655842,-2.79203313994,0.0,0.0,0.0
147126000000,14696,147126000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.29514829837,-2.70853734546,0.0,0.0,0.0
147137000000,14697,147136000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.31458473686,-2.70365471348,0.0,0.0,0.0
147147000000,14698,147147000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.33591055692,-2.69805707397,0.0,0.0,0.0
147157000000,14699,147157000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.29905912229,-2.618639839,0.0,0.0,0.0
147167000000,14700,147167000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.31834424002,-2.61314983052,0.0,0.0,0.0
147177000000,14701,147177000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.33757686754,-2.60746470795,0.0,0.0,0.0
147187000000,14702,147187000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.26874549991,-2.49085144575,0.0,0.0,0.0
147197000000,14703,147197000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.2878676705,-2.48477753217,0.0,0.0,0.0
147207000000,14704,147207000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.30693188415,-2.47850998184,0.0,0.0,0.0
147216000000,14705,147216000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.32404450821,-2.47269818398,0.0,0.0,0.0
147227000000,14706,147226000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.26917135348,-2.37677970011,0.0,0.0,0.0
147237000000,14707,147237000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.28993608225,-2.36926677213,0.0,0.0,0.0
147247000000,14708,147247000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.30875040086,-2.36223019897,0.0,0.0,0.0
147257000000,14709,147257000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.26087137595,-2.27581122893,0.0,0.0,0.0
147267000000,14710,147266000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.27769295943,-2.26913633373,0.0,0.0,0.0
147277000000,14711,147277000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.29815807352,-2.26078675084,0.0,0.0,0.0
147287000000,14712,147287000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.21571605868,-2.13813896546,0.0,0.0,0.0
147297000000,14713,147297000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.23417779418,-2.13015502559,0.0,0.0,0.0
147307000000,14714,147307000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.2525637146,-2.121983663,0.0,0.0,0.0
147316000000,14715,147316000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.26905447811,-2.11446008842,0.0,0.0,0.0
147327000000,14716,147327000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.20521911272,-2.01310262158,0.0,0.0,0.0
147337000000,14717,147337000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.22336711599,-2.00437343978,0.0,0.0,0.0
147348000000,14718,147347000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.24143234761,-1.99545986498,0.0,0.0,0.0
147357000000,14719,147357000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.18400773561,-1.90740293165,0.0,0.0,0.0
147367000000,14720,147367000000,,1,3131,0.0,0.0,2.7,0.0,0.0,0.0,2.20190227141,-1.89812300467,0.0,0.0,0.0
