%time,field.header.seq,field.header.stamp,field.header.frame_id,field.drive.steering_angle,field.drive.steering_angle_velocity,field.drive.speed,field.drive.acceleration,field.drive.jerk
123817000000,12365,123816000000,,0.0,0.0,0.0,0.0,0.0
123826000000,12366,123826000000,,0.0,0.0,0.0,0.0,0.0
123837000000,12367,123837000000,,0.0,0.0,0.0,0.0,0.0
123846000000,12368,123846000000,,0.0,0.0,0.0,0.0,0.0
123857000000,12369,123857000000,,0.0,0.0,0.0,0.0,0.0
123866000000,12370,123866000000,,0.0,0.0,0.0,0.0,0.0
123876000000,12371,123876000000,,0.0,0.0,0.0,0.0,0.0
123886000000,12372,123886000000,,0.0,0.0,0.0,0.0,0.0
123896000000,12373,123896000000,,0.0,0.0,0.0,0.0,0.0
123906000000,12374,123906000000,,0.0,0.0,0.0,0.0,0.0
123916000000,12375,123916000000,,0.0,0.0,0.0,0.0,0.0
123926000000,12376,123926000000,,0.0,0.0,0.0,0.0,0.0
123936000000,12377,123936000000,,0.0,0.0,0.0,0.0,0.0
123946000000,12378,123946000000,,0.0,0.0,0.0,0.0,0.0
123956000000,12379,123956000000,,0.0,0.0,0.0,0.0,0.0
123966000000,12380,123966000000,,0.0,0.0,0.0,0.0,0.0
123976000000,12381,123976000000,,0.0,0.0,0.0,0.0,0.0
123986000000,12382,123986000000,,0.0,0.0,0.0,0.0,0.0
123996000000,12383,123996000000,,0.0,0.0,0.0,0.0,0.0
124006000000,12384,124006000000,,0.0,0.0,0.0,0.0,0.0
124016000000,12385,124016000000,,0.0,0.0,0.0,0.0,0.0
124026000000,12386,124026000000,,0.0,0.0,0.0,0.0,0.0
124036000000,12387,124036000000,,0.0,0.0,0.0,0.0,0.0
124046000000,12388,124046000000,,0.0,0.0,0.0,0.0,0.0
124056000000,12389,124056000000,,0.0,0.0,0.0,0.0,0.0
124066000000,12390,124066000000,,0.0,0.0,0.0,0.0,0.0
124076000000,12391,124076000000,,0.0,0.0,0.0,0.0,0.0
124087000000,12392,124086000000,,0.0,0.0,0.0,0.0,0.0
124096000000,12393,124096000000,,0.0,0.0,0.0,0.0,0.0
124107000000,12394,124106000000,,0.0,0.0,0.0,0.0,0.0
124116000000,12395,124116000000,,0.0,0.0,0.0,0.0,0.0
124127000000,12396,124126000000,,0.0,0.0,0.0,0.0,0.0
124136000000,12397,124136000000,,0.0,0.0,0.0,0.0,0.0
124147000000,12398,124147000000,,0.0,0.0,0.0,0.0,0.0
124156000000,12399,124156000000,,0.0,0.0,0.0,0.0,0.0
124167000000,12400,124167000000,,0.0,0.0,0.0,0.0,0.0
124176000000,12401,124176000000,,0.0,0.0,0.0,0.0,0.0
124187000000,12402,124186000000,,0.0,0.0,0.0,0.0,0.0
124196000000,12403,124196000000,,0.0,0.0,0.0,0.0,0.0
124206000000,12404,124206000000,,0.0,0.0,0.0,0.0,0.0
124216000000,12405,124216000000,,0.0,0.0,0.0,0.0,0.0
124226000000,12406,124226000000,,0.0,0.0,0.0,0.0,0.0
124236000000,12407,124236000000,,0.0,0.0,0.0,0.0,0.0
124246000000,12408,124246000000,,0.0,0.0,0.0,0.0,0.0
124256000000,12409,124256000000,,0.0,0.0,0.0,0.0,0.0
124266000000,12410,124266000000,,0.0,0.0,0.0,0.0,0.0
124276000000,12411,124276000000,,0.0,0.0,0.0,0.0,0.0
124286000000,12412,124286000000,,0.0,0.0,0.0,0.0,0.0
124296000000,12413,124296000000,,0.0,0.0,0.0,0.0,0.0
124306000000,12414,124306000000,,0.0,0.0,0.0,0.0,0.0
124317000000,12415,124316000000,,0.0,0.0,0.0,0.0,0.0
124326000000,12416,124326000000,,0.0,0.0,0.0,0.0,0.0
124336000000,12417,124336000000,,0.0,0.0,0.0,0.0,0.0
124346000000,12418,124346000000,,0.0,0.0,0.0,0.0,0.0
124356000000,12419,124356000000,,0.0,0.0,0.0,0.0,0.0
124366000000,12420,124366000000,,0.0,0.0,0.0,0.0,0.0
124376000000,12421,124376000000,,0.0,0.0,0.0,0.0,0.0
124386000000,12422,124386000000,,0.0,0.0,0.0,0.0,0.0
124396000000,12423,124396000000,,0.0,0.0,0.0,0.0,0.0
124406000000,12424,124406000000,,0.0,0.0,0.0,0.0,0.0
124416000000,12425,124416000000,,0.0,0.0,0.0,0.0,0.0
124426000000,12426,124426000000,,0.0,0.0,0.0,0.0,0.0
124436000000,12427,124436000000,,0.0,0.0,0.0,0.0,0.0
124447000000,12428,124447000000,,0.0,0.0,0.0,0.0,0.0
124456000000,12429,124456000000,,0.0,0.0,0.0,0.0,0.0
124466000000,12430,124466000000,,0.0,0.0,0.0,0.0,0.0
124476000000,12431,124476000000,,0.0,0.0,0.0,0.0,0.0
124486000000,12432,124486000000,,0.0,0.0,0.0,0.0,0.0
124496000000,12433,124496000000,,0.0,0.0,0.0,0.0,0.0
124506000000,12434,124506000000,,0.0,0.0,0.0,0.0,0.0
124516000000,12435,124516000000,,0.0,0.0,0.0,0.0,0.0
124526000000,12436,124526000000,,0.0,0.0,0.0,0.0,0.0
124536000000,12437,124536000000,,0.0,0.0,0.0,0.0,0.0
124546000000,12438,124546000000,,0.0,0.0,0.0,0.0,0.0
124556000000,12439,124556000000,,0.0,0.0,0.0,0.0,0.0
124566000000,12440,124566000000,,0.0,0.0,0.0,0.0,0.0
124576000000,12441,124576000000,,0.0,0.0,0.0,0.0,0.0
124586000000,12442,124586000000,,0.0,0.0,0.0,0.0,0.0
124597000000,12443,124596000000,,0.0,0.0,0.0,0.0,0.0
124606000000,12444,124606000000,,0.0,0.0,0.0,0.0,0.0
124617000000,12445,124616000000,,0.0,0.0,0.0,0.0,0.0
124626000000,12446,124626000000,,0.0,0.0,0.0,0.0,0.0
124637000000,12447,124636000000,,0.0,0.0,0.0,0.0,0.0
124646000000,12448,124646000000,,0.0,0.0,0.0,0.0,0.0
124657000000,12449,124657000000,,0.0,0.0,0.0,0.0,0.0
124666000000,12450,124666000000,,0.0,0.0,0.0,0.0,0.0
124676000000,12451,124676000000,,0.0,0.0,0.0,0.0,0.0
124686000000,12452,124686000000,,0.0,0.0,0.0,0.0,0.0
124696000000,12453,124696000000,,0.0,0.0,0.0,0.0,0.0
124706000000,12454,124706000000,,0.0,0.0,0.0,0.0,0.0
124716000000,12455,124716000000,,0.0,0.0,0.0,0.0,0.0
124726000000,12456,124726000000,,0.0,0.0,0.0,0.0,0.0
124736000000,12457,124736000000,,0.0,0.0,0.0,0.0,0.0
124746000000,12458,124746000000,,0.0,0.0,0.0,0.0,0.0
124756000000,12459,124756000000,,0.0,0.0,0.0,0.0,0.0
124767000000,12460,124766000000,,0.0,0.0,0.0,0.0,0.0
124776000000,12461,124776000000,,0.0,0.0,0.0,0.0,0.0
124786000000,12462,124786000000,,0.0,0.0,0.0,0.0,0.0
124796000000,12463,124796000000,,0.0,0.0,0.0,0.0,0.0
124807000000,12464,124806000000,,0.0,0.0,0.0,0.0,0.0
124816000000,12465,124816000000,,0.0,0.0,0.0,0.0,0.0
124827000000,12466,124826000000,,0.0,0.0,0.0,0.0,0.0
124836000000,12467,124836000000,,0.0,0.0,0.0,0.0,0.0
124846000000,12468,124846000000,,0.0,0.0,0.0,0.0,0.0
124856000000,12469,124856000000,,0.0,0.0,0.0,0.0,0.0
124867000000,12470,124866000000,,0.0,0.0,0.0,0.0,0.0
124876000000,12471,124876000000,,0.0,0.0,0.0,0.0,0.0
124887000000,12472,124886000000,,0.0,0.0,0.0,0.0,0.0
124896000000,12473,124896000000,,0.0,0.0,0.0,0.0,0.0
124907000000,12474,124907000000,,0.0,0.0,0.0,0.0,0.0
124916000000,12475,124916000000,,0.0,0.0,0.0,0.0,0.0
124926000000,12476,124926000000,,0.0,0.0,0.0,0.0,0.0
124936000000,12477,124936000000,,0.0,0.0,0.0,0.0,0.0
124946000000,12478,124946000000,,0.0,0.0,0.0,0.0,0.0
124956000000,12479,124956000000,,0.0,0.0,0.0,0.0,0.0
124966000000,12480,124966000000,,0.0,0.0,0.0,0.0,0.0
124976000000,12481,124976000000,,0.0,0.0,0.0,0.0,0.0
124986000000,12482,124986000000,,0.0,0.0,0.0,0.0,0.0
124996000000,12483,124996000000,,0.0,0.0,0.0,0.0,0.0
125006000000,12484,125006000000,,0.0,0.0,0.0,0.0,0.0
125016000000,12485,125016000000,,0.0,0.0,0.0,0.0,0.0
125026000000,12486,125026000000,,0.0,0.0,0.0,0.0,0.0
125037000000,12487,125036000000,,0.0,0.0,0.0,0.0,0.0
125046000000,12488,125046000000,,0.0,0.0,0.0,0.0,0.0
125057000000,12489,125057000000,,0.0,0.0,0.0,0.0,0.0
125066000000,12490,125066000000,,0.0,0.0,0.0,0.0,0.0
125076000000,12491,125076000000,,0.0,0.0,0.0,0.0,0.0
125086000000,12492,125086000000,,0.0,0.0,0.0,0.0,0.0
125096000000,12493,125096000000,,0.0,0.0,0.0,0.0,0.0
125106000000,12494,125106000000,,0.0,0.0,0.0,0.0,0.0
125116000000,12495,125116000000,,0.0,0.0,0.0,0.0,0.0
125126000000,12496,125126000000,,0.0,0.0,0.0,0.0,0.0
125136000000,12497,125136000000,,0.0,0.0,0.0,0.0,0.0
125146000000,12498,125146000000,,0.0,0.0,0.0,0.0,0.0
125156000000,12499,125156000000,,0.0,0.0,0.0,0.0,0.0
125166000000,12500,125166000000,,0.0,0.0,0.0,0.0,0.0
125176000000,12501,125176000000,,0.0,0.0,0.0,0.0,0.0
125187000000,12502,125186000000,,0.0,0.0,0.0,0.0,0.0
125196000000,12503,125196000000,,0.0,0.0,0.0,0.0,0.0
125207000000,12504,125207000000,,0.0,0.0,0.0,0.0,0.0
125216000000,12505,125216000000,,0.0,0.0,0.0,0.0,0.0
125227000000,12506,125227000000,,0.0,0.0,0.0,0.0,0.0
125236000000,12507,125236000000,,0.0,0.0,0.0,0.0,0.0
125246000000,12508,125246000000,,0.0,0.0,0.0,0.0,0.0
125256000000,12509,125256000000,,0.0,0.0,0.0,0.0,0.0
125266000000,12510,125266000000,,0.0,0.0,0.0,0.0,0.0
125276000000,12511,125276000000,,0.0,0.0,0.0,0.0,0.0
125286000000,12512,125286000000,,0.0,0.0,0.0,0.0,0.0
125296000000,12513,125296000000,,0.0,0.0,0.0,0.0,0.0
125306000000,12514,125306000000,,0.0,0.0,0.0,0.0,0.0
125316000000,12515,125316000000,,0.0,0.0,0.0,0.0,0.0
125326000000,12516,125326000000,,0.0,0.0,0.0,0.0,0.0
125337000000,12517,125336000000,,0.0,0.0,0.0,0.0,0.0
125346000000,12518,125346000000,,0.0,0.0,0.0,0.0,0.0
125357000000,12519,125357000000,,0.0,0.0,0.0,0.0,0.0
125366000000,12520,125366000000,,0.0,0.0,0.0,0.0,0.0
125376000000,12521,125376000000,,0.0,0.0,0.0,0.0,0.0
125386000000,12522,125386000000,,0.0,0.0,0.0,0.0,0.0
